district,COUNTYFP,date ,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Erie,29,2/27/21,58,2021,-9.750798654,-3.970700491,1.809397672,0.748460196,84.27718694,0.016665689
Erie,29,2/28/21,59,2021,-9.369959359,-3.290263883,2.789431593,0,85.07930947,0.013692595
Erie,29,3/1/21,60,2021,-3.304633437,2.194356776,7.69334699,0.01301925,58.72895383,0.359776172
Erie,29,3/2/21,61,2021,-9.639561744,-4.241580046,1.156401652,0,59.75634742,0.223353914
Erie,29,3/3/21,62,2021,-1.364918057,1.751762727,4.868443511,0.003149072,60.57433186,0.285685772
Erie,29,3/4/21,63,2021,-9.675426634,-5.280760373,-0.886094112,0.132182277,78.85712324,0.099273244
Erie,29,3/5/21,64,2021,-7.678885968,-3.620391225,0.438103518,0.198942593,61.059968,0.207212917
Erie,29,3/6/21,65,2021,-8.894654777,-5.310827576,-1.727000375,0.032261003,68.23156483,0.146641763
Erie,29,3/7/21,66,2021,-9.331630661,-4.796069006,-0.26050735,0,63.94150766,0.18285624
Erie,29,3/8/21,67,2021,-8.056594443,1.093066526,10.2427275,0,63.27825599,0.419494603
Erie,29,3/9/21,68,2021,-0.251477162,4.981831117,10.2151394,0,55.1646756,0.456056249
Erie,29,3/10/21,69,2021,5.919716833,12.54808633,19.17645583,0,41.69349668,1.004646578
Erie,29,3/11/21,70,2021,1.208713604,10.24956338,19.29041315,3.407709055,68.80754474,0.573409795
Erie,29,3/12/21,71,2021,-6.589234491,1.455470366,9.500175223,0,69.94681479,0.291614517
Erie,29,3/13/21,72,2021,-5.001558012,-0.456385995,4.088786023,0,51.33219315,0.321328017
Erie,29,3/14/21,73,2021,-8.793629645,-2.103982324,4.585664997,0,63.03920679,0.275090847
Erie,29,3/15/21,74,2021,-8.218171804,-3.270928013,1.676315778,0.004609376,35.77079157,0.342366438
Erie,29,3/16/21,75,2021,-1.968967299,1.192906469,4.354780237,0.40428212,53.62546255,0.321542121
Erie,29,3/17/21,76,2021,0.887603103,6.545450377,12.20329765,0.004754481,59.44918493,0.481979901
Erie,29,3/18/21,77,2021,-4.910199636,0.226777929,5.363755495,1.592863646,78.89361998,0.141694943
Erie,29,3/19/21,78,2021,-5.739058711,-1.003491786,3.732075139,0,46.70063911,0.338559921
Erie,29,3/20/21,79,2021,-3.729015728,3.802594964,11.33420566,0,44.82993833,0.576130659
Erie,29,3/21/21,80,2021,0.907099231,9.753122139,18.59914505,0,36.14493587,1.014818219
Erie,29,3/22/21,81,2021,3.649435624,12.01284935,20.37626308,9.49352426683212E-04,34.05370633,1.164198608
Erie,29,3/23/21,82,2021,5.655455388,12.74146975,19.82748412,1.49553727,35.5061739,1.128471619
Erie,29,3/24/21,83,2021,9.119476867,15.63597054,22.15246421,1.025004246,59.63702127,0.907181583
Erie,29,3/25/21,84,2021,9.798651123,15.2506266,20.70260208,8.290401498,57.38574601,0.861214089
Erie,29,3/26/21,85,2021,3.093168908,8.727757715,14.36234652,11.02734289,75.28323986,0.359326499
Erie,29,3/27/21,86,2021,3.643576345,9.272521273,14.9014662,0.076960839,68.37752978,0.471228289
Erie,29,3/28/21,87,2021,-0.120507025,6.65885818,13.43822339,9.538427965,74.07408517,0.317653173
Erie,29,3/29/21,88,2021,-1.235479574,2.512071805,6.259623183,0,60.61557505,0.312008306
Erie,29,3/30/21,89,2021,4.463905404,12.76742466,21.07094391,0.048958801,44.66527942,1.086859883
Erie,29,3/31/21,90,2021,-2.143883724,5.247887489,12.6396587,2.018392728,75.81918936,0.223946528
Erie,29,4/1/21,91,2021,-5.55490283,-1.486481624,2.581939582,1.250354269,57.66176044,0.253598741
Erie,29,4/2/21,92,2021,-6.621914943,-1.470174975,3.681564993,0,45.46628088,0.336688694
Erie,29,4/3/21,93,2021,-4.33555226,2.455723372,9.246999004,0.023831062,52.76641766,0.44217085
Erie,29,4/4/21,94,2021,-1.122324444,5.888642788,12.89961002,0,63.67676158,0.47142279
Erie,29,4/5/21,95,2021,0.026525596,7.473558138,14.92059068,0.360477613,65.15129209,0.525524612
Erie,29,4/6/21,96,2021,2.945833728,11.74821674,20.55059974,1.118875903,58.93215069,0.861894074
Erie,29,4/7/21,97,2021,7.661281492,15.14337426,22.62546702,0,57.1880158,0.974542687
Erie,29,4/8/21,98,2021,11.14365524,19.73205869,28.32046214,0.634699993,46.09618554,1.615943412
Erie,29,4/9/21,99,2021,10.45288148,16.13633937,21.81979726,3.041924332,59.22507289,0.872447014
Erie,29,4/10/21,100,2021,11.78272282,19.47892864,27.17513446,4.662853285,47.53328454,1.478365416
Erie,29,4/11/21,101,2021,9.461109732,14.30795859,19.15480745,13.98239609,72.19591998,0.526856329
Erie,29,4/12/21,102,2021,6.00415839,9.560662834,13.11716728,1.297485372,79.39251362,0.259828346
Erie,29,4/13/21,103,2021,3.957525892,9.944035125,15.93054436,0,70.83364271,0.461743873
Erie,29,4/14/21,104,2021,3.883634957,8.949762102,14.01588925,3.348988133,57.61856026,0.549725536
Erie,29,4/15/21,105,2021,2.056875197,4.509411418,6.961947639,8.934740148,69.16848466,0.256390145
Erie,29,4/16/21,106,2021,2.609368022,4.506401307,6.403434591,2.404641797,77.98000571,0.176373166
Erie,29,4/17/21,107,2021,2.780515732,6.42332911,10.06614249,0.019011748,73.77367549,0.271548602
Erie,29,4/18/21,108,2021,3.154134896,8.554131231,13.95412757,0.098971922,63.85552466,0.480807487
Erie,29,4/19/21,109,2021,2.905551022,9.868950101,16.83234918,5.693430173,60.21147548,0.642941142
Erie,29,4/20/21,110,2021,-1.831403674,2.649894117,7.131191908,7.610249924,78.93289393,0.184895572
Erie,29,4/21/21,111,2021,-2.72642765,0.039699025,2.8058257,3.704266682,66.6467591,0.206157514
Erie,29,4/22/21,112,2021,-1.82667993,1.30283684,4.432353611,1.280562203,59.02878846,0.282087032
Erie,29,4/23/21,113,2021,3.273473748,8.282010974,13.2905482,0,52.97137977,0.575156446
Erie,29,4/24/21,114,2021,6.78823309,12.08111386,17.37399463,7.96529878365567E-04,46.65148181,0.833810223
Erie,29,4/25/21,115,2021,-0.169218247,6.005790503,12.18079925,0.6088668,73.19123967,0.339301339
Erie,29,4/26/21,116,2021,0.408820643,5.624565454,10.84031027,0.302400397,53.6003992,0.480983773
Erie,29,4/27/21,117,2021,8.230713324,15.3257064,22.42069948,0.052073911,51.4093718,1.049855044
Erie,29,4/28/21,118,2021,10.70912409,16.6940527,22.6789813,4.498598365,68.76374086,0.747883485
Erie,29,4/29/21,119,2021,7.078606926,9.799333292,12.52005966,19.54424133,91.10026078,0.061148948
Erie,29,4/30/21,120,2021,0.699319823,5.140879691,9.582439558,0.773641964,77.07061775,0.240550469
Erie,29,5/1/21,121,2021,2.716168565,9.492866501,16.26956444,0.067952024,52.12800274,0.696737474
Erie,29,5/2/21,122,2021,11.27355225,15.91554497,20.55753769,0.40958769,61.22981307,0.752999647
Erie,29,5/3/21,123,2021,8.61228626,13.86610041,19.11991457,5.024485567,75.01948963,0.455749986
Erie,29,5/4/21,124,2021,7.565462328,14.22909577,20.89272922,1.064483416,78.37263079,0.3828655
Erie,29,5/5/21,125,2021,2.028312017,6.1186664,10.20902078,0.365245988,89.18643132,0.035714021
Erie,29,5/6/21,126,2021,2.886043293,7.715095705,12.54414812,7.160046876,59.74645418,0.466386594
Erie,29,5/7/21,127,2021,2.341970896,4.945706186,7.549441475,7.793292799,79.14526404,0.169973604
Erie,29,5/8/21,128,2021,2.628606672,7.273294333,11.91798199,0.061132123,61.79223456,0.427213532
Erie,29,5/9/21,129,2021,2.887809147,6.701611242,10.51541334,6.319266473,74.14290536,0.268152081
Erie,29,5/10/21,130,2021,1.823388036,7.155247198,12.48710636,0.145070315,66.62292575,0.400042757
Erie,29,5/11/21,131,2021,2.87878859,6.602235155,10.32568172,0.70604962,60.12509367,0.399260429
Erie,29,5/12/21,132,2021,2.506198063,9.016333289,15.52646852,0,57.19458642,0.607844274
Erie,29,5/13/21,133,2021,3.418669375,10.54536575,17.67206212,0,54.30544525,0.736988318
Erie,29,5/14/21,134,2021,4.872748549,12.23873864,19.60472873,0,49.62612559,0.894458255
Erie,29,5/15/21,135,2021,7.269222066,14.16037948,21.05153689,0,43.99021385,1.059309831
Erie,29,5/16/21,136,2021,7.115063345,14.24619553,21.37732771,0.029267841,48.37633341,1.016237781
Erie,29,5/17/21,137,2021,8.467203285,16.16207648,23.85694967,0,49.29422142,1.165882284
Erie,29,5/18/21,138,2021,10.44252638,17.75537121,25.06821605,0,45.67116513,1.318835005
Erie,29,5/19/21,139,2021,12.57352105,20.70761647,28.84171189,0,45.47623309,1.655189644
Erie,29,5/20/21,140,2021,15.18804479,23.01504192,30.84203905,0,46.12528698,1.839343638
Erie,29,5/21/21,141,2021,16.87870685,23.41689129,29.95507572,0,46.64805735,1.741183835
Erie,29,5/22/21,142,2021,16.70980913,21.58370562,26.45760211,0.02597984,57.61841933,1.164065391
Erie,29,5/23/21,143,2021,10.21565241,17.79183654,25.36802067,6.85386156925784E-04,75.48845885,0.613238759
Erie,29,5/24/21,144,2021,12.54779891,18.92728494,25.30677097,0,55.3214106,1.144837062
Erie,29,5/25/21,145,2021,18.86362549,23.75303862,28.64245175,0.702196638,55.96824674,1.376535865
Erie,29,5/26/21,146,2021,8.213060978,16.76191256,25.31076413,2.256501134,75.94356151,0.509309054
Erie,29,5/27/21,147,2021,7.263095812,12.6030483,17.94300078,0.099384081,62.92261083,0.616982447
Erie,29,5/28/21,148,2021,3.589360473,5.993599106,8.39783774,20.91667473,83.26314326,0.142002439
Erie,29,5/29/21,149,2021,5.416184539,9.732415996,14.04864745,0.002968463,56.63561925,0.553129001
Erie,29,5/30/21,150,2021,4.51182987,11.4156256,18.31942133,0,53.9482688,0.768746545
