population,temperature,n.laid,N,proportion
albany,22,17,48,0.3542
albany,25,4,50,0.0800
albany,28,1,17,0.0588
suffolk,22,9,50,0.1800
suffolk,25,27,49,0.5510
suffolk,28,9,49,0.1837
